loan_id,applicant_name,age,gender,marital_status,dependents,education_level,employment_type,employment_years,annual_income,loan_amount,loan_purpose,loan_term_months,interest_rate,credit_score,property_ownership,loan_status,application_date,debt_to_income_ratio,income_category,loan_status_approved
157,Applicant_157,62,Female,Married,0,Post-Graduate,Salaried,7,866438.55,632316.07,Auto,24,4.89,692,Mortgage,Approved,2025-11-13 21:51:24.034175,72.98,High,True
158,Applicant_158,26,Female,Divorced,4,Post-Graduate,Retired,4,1089172.41,281328.48,Education,48,10.84,643,Rented,Approved,2026-05-06 21:51:24.034179,25.83,High,True
159,Applicant_159,48,Male,Married,1,Graduate,Salaried,12,1061509.87,50000.0,Education,48,14.63,647,Rented,Rejected,2026-07-21 21:51:24.034182,4.71,High,False
160,Applicant_160,48,Male,Married,1,Post-Graduate,Business Owner,1,803250.75,241937.13,Debt Consolidation,36,6.48,765,Owned,Approved,2026-01-10 21:51:24.034186,30.12,High,True
161,Applicant_161,64,Male,Married,1,Graduate,Self-Employed,1,300444.35,190676.63,Education,48,9.94,656,Owned,Approved,2026-03-15 21:51:24.034189,63.46,High,True
162,Applicant_162,64,Female,Married,1,Graduate,Student,4,1236909.19,684606.27,Education,60,4.33,710,Mortgage,Approved,2026-02-27 21:51:24.034193,55.35,High,True
163,Applicant_163,40,Male,Single,0,Graduate,Self-Employed,20,1412892.0,723537.45,Auto,36,5.25,608,Mortgage,Approved,2026-02-04 21:51:24.034196,51.21,High,True
164,Applicant_164,50,Female,Divorced,3,Graduate,Self-Employed,9,366563.79,549160.18,Debt Consolidation,60,12.46,644,Owned,Approved,2025-12-26 21:51:24.034199,149.81,High,True
165,Applicant_165,31,Male,Married,4,High School,Salaried,4,285498.0,144766.25,Personal,60,9.78,581,Owned,Approved,2025-09-03 21:51:24.034203,50.71,High,True
166,Applicant_166,48,Female,Married,1,High School,Salaried,5,795281.24,1000247.17,Auto,36,12.57,828,Owned,Approved,2025-09-29 21:51:24.034206,125.77,High,True
167,Applicant_167,45,Male,Single,2,Graduate,Retired,0,599510.16,383461.14,Personal,60,12.3,790,Mortgage,Approved,2025-10-23 21:51:24.034210,63.96,High,True
168,Applicant_168,59,Male,Single,3,Under-Graduate,Salaried,33,907979.7,668974.68,Auto,24,3.0,727,Mortgage,Approved,2026-04-29 21:51:24.034213,73.68,High,True
169,Applicant_169,53,Female,Single,3,Graduate,Salaried,8,1333197.62,513810.95,Personal,60,4.31,850,Mortgage,Approved,2025-12-12 21:51:24.034217,38.54,High,True
170,Applicant_170,21,Female,Married,1,Under-Graduate,Business Owner,2,150000.0,558425.78,Personal,36,9.46,741,Rented,Pending,2026-01-30 21:51:24.034220,372.28,Upper-Middle,False
171,Applicant_171,47,Male,Married,1,Under-Graduate,Salaried,7,1482508.78,659091.52,Home,24,3.0,666,Mortgage,Approved,2025-10-22 21:51:24.034224,44.46,High,True
172,Applicant_172,33,Female,Single,1,High School,Retired,0,687332.62,305114.35,Business,60,4.81,709,Rented,Rejected,2025-11-05 21:51:24.034227,44.39,High,False
173,Applicant_173,61,Male,Married,3,Post-Graduate,Business Owner,27,1054711.59,865512.68,Auto,48,13.49,788,Rented,Rejected,2026-02-15 21:51:24.034231,82.06,High,False
174,Applicant_174,23,Female,Single,3,Under-Graduate,Self-Employed,1,1097490.34,57738.48,Auto,84,6.6,609,Mortgage,Approved,2026-06-21 21:51:24.034235,5.26,High,True
175,Applicant_175,59,Female,Married,0,Graduate,Student,8,1144136.46,209204.23,Auto,48,10.99,586,Rented,Rejected,2026-05-06 21:51:24.034238,18.28,High,False
176,Applicant_176,26,Male,Single,1,High School,Salaried,2,874763.24,861880.22,Business,36,8.4,712,Mortgage,Approved,2026-01-20 21:51:24.034241,98.53,High,True
177,Applicant_177,28,Male,Married,4,Graduate,Salaried,10,968224.24,665201.33,Home,48,6.12,633,Rented,Approved,2026-01-20 21:51:24.034245,68.7,High,True
178,Applicant_178,47,Male,Single,3,Post-Graduate,Self-Employed,11,965608.82,1211309.51,Home,48,3.0,499,Mortgage,Approved,2026-01-22 21:51:24.034248,125.45,High,True
179,Applicant_179,29,Male,Married,4,Under-Graduate,Salaried,8,597886.88,519138.12,Business,36,9.32,580,Rented,Rejected,2026-01-03 21:51:24.034252,86.83,High,False
180,Applicant_180,57,Female,Single,3,Under-Graduate,Business Owner,7,150000.0,976120.2,Home,60,13.59,655,Owned,Approved,2025-11-03 21:51:24.034255,650.75,Upper-Middle,True
181,Applicant_181,53,Male,Married,1,Graduate,Retired,17,362325.67,50000.0,Home,60,6.22,683,Rented,Rejected,2026-05-26 21:51:24.034259,13.8,High,False
182,Applicant_182,62,Male,Single,2,High School,Self-Employed,0,808304.81,104215.81,Home,84,8.74,686,Owned,Approved,2025-12-18 21:51:24.034262,12.89,High,True
183,Applicant_183,64,Female,Single,2,Graduate,Salaried,3,535277.34,750747.15,Auto,120,3.18,840,Owned,Rejected,2025-09-05 21:51:24.034266,140.25,High,False
184,Applicant_184,44,Female,Single,0,Post-Graduate,Retired,2,536201.57,50000.0,Education,36,6.15,663,Owned,Approved,2026-01-25 21:51:24.034269,9.32,High,True
185,Applicant_185,35,Male,Single,2,Graduate,Self-Employed,35,1569700.42,444737.07,Home,60,9.69,702,Rented,Approved,2025-12-13 21:51:24.034272,28.33,High,True
186,Applicant_186,52,Male,Single,3,Graduate,Self-Employed,3,1193557.92,826818.54,Debt Consolidation,48,11.1,549,Rented,Approved,2025-09-15 21:51:24.034276,69.27,High,True
187,Applicant_187,52,Male,Single,0,Post-Graduate,Salaried,10,749169.61,640327.95,Business,60,10.45,677,Rented,Approved,2025-12-31 21:51:24.034279,85.47,High,True
188,Applicant_188,44,Male,Married,3,Post-Graduate,Retired,9,1118813.98,503106.66,Auto,48,3.0,706,Owned,Approved,2025-10-17 21:51:24.034282,44.97,High,True
189,Applicant_189,61,Female,Single,2,Graduate,Self-Employed,1,681892.56,374249.91,Auto,120,6.9,569,Mortgage,Pending,2026-01-26 21:51:24.034286,54.88,High,False
190,Applicant_190,32,Male,Married,4,Graduate,Business Owner,2,894289.37,556623.24,Auto,60,5.11,605,Mortgage,Approved,2026-05-22 21:51:24.034289,62.24,High,True
191,Applicant_191,59,Female,Married,0,Post-Graduate,Business Owner,2,1026651.46,661629.54,Business,120,7.42,719,Rented,Pending,2026-08-12 21:51:24.034293,64.45,High,False
192,Applicant_192,22,Male,Married,1,Under-Graduate,Salaried,4,682957.61,314949.59,Home,60,8.11,636,Owned,Approved,2026-03-27 21:51:24.034296,46.12,High,True
193,Applicant_193,23,Female,Married,2,High School,Self-Employed,2,575899.78,604086.09,Home,84,12.23,671,Mortgage,Rejected,2026-08-12 21:51:24.034300,104.89,High,False
194,Applicant_194,57,Female,Single,1,Graduate,Business Owner,0,1339572.73,801960.61,Personal,60,9.53,723,Rented,Approved,2026-02-11 21:51:24.034303,59.87,High,True
195,Applicant_195,37,Female,Single,3,Graduate,Salaried,16,1095645.19,437706.12,Auto,48,13.46,842,Owned,Approved,2026-05-12 21:51:24.034307,39.95,High,True
196,Applicant_196,22,Male,Single,3,Graduate,Business Owner,26,150000.0,519074.4,Auto,36,6.05,662,Owned,Rejected,2026-08-05 21:51:24.034310,346.05,Upper-Middle,False
197,Applicant_197,22,Male,Married,0,Graduate,Retired,3,582745.63,635458.07,Personal,48,3.54,821,Rented,Approved,2026-07-17 21:51:24.034313,109.05,High,True
198,Applicant_198,48,Male,Married,2,Under-Graduate,Self-Employed,3,537491.0,654373.58,Business,12,13.59,523,Rented,Approved,2026-07-22 21:51:24.034317,121.75,High,True
199,Applicant_199,43,Female,Married,2,Post-Graduate,Business Owner,0,601544.76,745967.0,Auto,48,10.02,691,Rented,Approved,2025-10-04 21:51:24.034320,124.01,High,True
200,Applicant_200,57,Female,Married,1,Graduate,Business Owner,9,1194960.92,215975.01,Business,48,5.9,653,Owned,Approved,2026-03-16 21:51:24.034323,18.07,High,True
201,Applicant_201,52,Female,Married,4,Graduate,Business Owner,13,857682.39,351901.7,Home,48,10.03,637,Rented,Approved,2026-05-04 21:51:24.034327,41.03,High,True
202,Applicant_202,53,Female,Married,3,Graduate,Salaried,1,294148.13,362273.97,Business,120,11.42,732,Rented,Rejected,2026-03-31 21:51:24.034331,123.16,High,False
203,Applicant_203,21,Female,Married,2,Under-Graduate,Salaried,1,696714.07,246904.59,Education,84,8.92,662,Owned,Approved,2026-08-22 21:51:24.034334,35.44,High,True
204,Applicant_204,39,Male,Single,3,High School,Self-Employed,12,1066695.06,50000.0,Personal,36,5.95,518,Rented,Approved,2026-07-27 21:51:24.034338,4.69,High,True
205,Applicant_205,22,Female,Single,2,Graduate,Business Owner,7,762141.99,50000.0,Debt Consolidation,48,6.96,552,Rented,Approved,2026-04-05 21:51:24.034341,6.56,High,True
206,Applicant_206,64,Male,Divorced,4,Graduate,Self-Employed,0,592129.62,834726.76,Debt Consolidation,48,9.52,737,Mortgage,Approved,2025-11-07 21:51:24.034344,140.97,High,True
207,Applicant_207,46,Male,Divorced,2,High School,Business Owner,7,982487.71,64909.96,Debt Consolidation,48,9.2,549,Rented,Approved,2025-11-08 21:51:24.034348,6.61,High,True
208,Applicant_208,52,Male,Single,3,High School,Salaried,2,1497277.0,938622.56,Education,60,12.74,739,Owned,Rejected,2026-03-04 21:51:24.034351,62.69,High,False
209,Applicant_209,26,Male,Married,3,Post-Graduate,Self-Employed,3,1034569.93,707034.66,Auto,48,7.53,689,Owned,Rejected,2026-03-04 21:51:24.034355,68.34,High,False
210,Applicant_210,52,Male,Single,1,Graduate,Salaried,11,1370376.61,386407.25,Education,48,5.13,666,Owned,Approved,2026-06-28 21:51:24.034358,28.2,High,True
211,Applicant_211,24,Female,Single,3,Graduate,Business Owner,13,618954.31,672598.19,Business,84,17.52,673,Owned,Rejected,2026-06-12 21:51:24.034362,108.67,High,False
212,Applicant_212,31,Male,Married,0,Post-Graduate,Self-Employed,4,846655.16,619037.31,Personal,60,9.11,721,Rented,Approved,2026-06-03 21:51:24.034365,73.12,High,True
213,Applicant_213,37,Female,Married,1,Graduate,Salaried,23,838579.21,191503.18,Home,24,11.42,585,Mortgage,Rejected,2026-02-18 21:51:24.034369,22.84,High,False
214,Applicant_214,58,Male,Single,1,Graduate,Salaried,4,897471.63,495806.22,Debt Consolidation,60,10.33,683,Owned,Approved,2026-08-21 21:51:24.034372,55.24,High,True
215,Applicant_215,44,Male,Married,4,Post-Graduate,Business Owner,11,1026207.84,225645.14,Personal,48,9.15,588,Mortgage,Approved,2026-06-04 21:51:24.034375,21.99,High,True
216,Applicant_216,25,Male,Single,3,Graduate,Self-Employed,5,482412.35,683155.84,Debt Consolidation,36,7.7,693,Owned,Approved,2025-12-09 21:51:24.034379,141.61,High,True
217,Applicant_217,54,Male,Single,3,Under-Graduate,Salaried,18,1108933.07,299738.13,Personal,24,3.0,731,Mortgage,Approved,2025-12-12 21:51:24.034382,27.03,High,True
218,Applicant_218,26,Female,Married,3,Graduate,Retired,19,198845.62,472943.73,Auto,48,4.78,693,Mortgage,Approved,2026-07-12 21:51:24.034386,237.84,Upper-Middle,True
219,Applicant_219,42,Male,Married,2,Graduate,Business Owner,0,315697.33,460856.3,Home,48,9.65,728,Mortgage,Approved,2025-09-21 21:51:24.034389,145.98,High,True
220,Applicant_220,31,Female,Married,4,Post-Graduate,Retired,22,1704250.44,534042.12,Home,36,3.0,623,Owned,Approved,2026-05-26 21:51:24.034393,31.34,High,True
221,Applicant_221,36,Male,Married,2,Graduate,Self-Employed,13,645951.7,965515.42,Auto,60,8.75,675,Owned,Approved,2026-01-16 21:51:24.034396,149.47,High,True
222,Applicant_222,53,Female,Married,1,High School,Self-Employed,12,1141807.74,432531.04,Business,60,10.81,660,Mortgage,Approved,2025-11-22 21:51:24.034400,37.88,High,True
223,Applicant_223,29,Female,Single,0,Post-Graduate,Student,1,1529316.16,841019.6,Personal,36,11.42,655,Mortgage,Approved,2026-08-25 21:51:24.034403,54.99,High,True
224,Applicant_224,26,Female,Married,3,Graduate,Self-Employed,13,150000.0,634399.16,Personal,12,10.59,615,Mortgage,Approved,2026-04-21 21:51:24.034406,422.93,Upper-Middle,True
225,Applicant_225,36,Male,Married,3,Under-Graduate,Business Owner,15,1300498.47,897152.71,Business,60,11.85,645,Owned,Approved,2025-10-09 21:51:24.034410,68.99,High,True
226,Applicant_226,49,Male,Married,1,Graduate,Salaried,2,1109577.44,405237.98,Home,12,14.12,590,Mortgage,Approved,2025-12-22 21:51:24.034413,36.52,High,True
227,Applicant_227,23,Male,Divorced,0,High School,Self-Employed,24,1506158.91,694918.15,Home,84,12.34,544,Rented,Pending,2026-01-11 21:51:24.034416,46.14,High,False
228,Applicant_228,40,Female,Married,3,Graduate,Salaried,0,377390.74,483404.95,Home,60,9.19,623,Owned,Pending,2025-10-05 21:51:24.034420,128.09,High,False
229,Applicant_229,56,Male,Married,0,Post-Graduate,Salaried,1,1430501.86,50000.0,Auto,36,8.03,730,Rented,Approved,2026-04-19 21:51:24.034423,3.5,High,True
230,Applicant_230,39,Male,Single,3,Graduate,Salaried,6,554234.23,194843.8,Education,36,8.9,698,Owned,Approved,2026-01-12 21:51:24.034427,35.16,High,True
231,Applicant_231,46,Female,Single,4,Post-Graduate,Salaried,6,1271911.13,663065.54,Home,12,7.54,579,Mortgage,Approved,2026-03-04 21:51:24.034430,52.13,High,True
232,Applicant_232,23,Male,Married,1,Under-Graduate,Retired,8,835591.59,644554.18,Auto,36,12.41,647,Rented,Pending,2025-10-09 21:51:24.034433,77.14,High,False
233,Applicant_233,39,Female,Single,1,Under-Graduate,Salaried,0,1158307.52,137406.33,Home,24,10.5,735,Owned,Approved,2025-10-21 21:51:24.034437,11.86,High,True
234,Applicant_234,40,Male,Married,3,Graduate,Business Owner,25,869547.67,561702.91,Business,60,7.17,644,Owned,Approved,2026-07-28 21:51:24.034441,64.6,High,True
235,Applicant_235,52,Male,Married,3,Graduate,Business Owner,0,150000.0,640912.86,Education,36,13.13,566,Rented,Approved,2026-06-23 21:51:24.034444,427.28,Upper-Middle,True
236,Applicant_236,27,Female,Married,2,Under-Graduate,Self-Employed,1,150000.0,490293.64,Education,48,7.48,850,Owned,Approved,2026-02-03 21:51:24.034447,326.86,Upper-Middle,True
237,Applicant_237,61,Male,Married,4,High School,Salaried,0,933966.21,704069.22,Auto,48,5.19,666,Owned,Approved,2026-05-19 21:51:24.034451,75.38,High,True
238,Applicant_238,53,Female,Single,0,Graduate,Business Owner,6,744505.98,665915.49,Debt Consolidation,36,8.46,586,Rented,Approved,2025-10-12 21:51:24.034454,89.44,High,True
239,Applicant_239,60,Male,Married,2,Post-Graduate,Self-Employed,21,1009288.38,490159.8,Home,12,5.62,693,Mortgage,Approved,2026-07-28 21:51:24.034458,48.56,High,True
240,Applicant_240,59,Male,Married,3,Graduate,Business Owner,8,749138.61,356969.05,Education,12,11.78,673,Mortgage,Approved,2026-02-18 21:51:24.034461,47.65,High,True
241,Applicant_241,38,Female,Single,3,High School,Business Owner,13,1657230.95,791911.65,Business,12,5.54,556,Rented,Approved,2026-06-23 21:51:24.034465,47.79,High,True
242,Applicant_242,60,Female,Single,0,Graduate,Retired,0,942214.85,629685.39,Education,60,8.1,687,Rented,Approved,2025-10-29 21:51:24.034468,66.83,High,True
243,Applicant_243,21,Female,Married,3,Graduate,Self-Employed,6,671220.91,113198.86,Debt Consolidation,36,11.79,758,Owned,Approved,2026-01-05 21:51:24.034472,16.86,High,True
244,Applicant_244,31,Male,Single,2,Under-Graduate,Salaried,4,984945.23,561851.34,Auto,60,6.01,661,Mortgage,Rejected,2025-11-23 21:51:24.034475,57.04,High,False
245,Applicant_245,48,Female,Married,1,Graduate,Self-Employed,5,678530.08,177713.08,Education,48,9.94,515,Rented,Approved,2026-02-07 21:51:24.034478,26.19,High,True
246,Applicant_246,45,Male,Single,0,Post-Graduate,Salaried,0,887172.09,229920.98,Home,48,5.09,707,Rented,Approved,2025-09-12 21:51:24.034482,25.92,High,True
247,Applicant_247,43,Male,Single,3,Post-Graduate,Student,9,363007.93,317465.19,Business,48,9.36,728,Owned,Approved,2026-01-15 21:51:24.034485,87.45,High,True
248,Applicant_248,51,Female,Divorced,0,Graduate,Salaried,5,846565.92,512564.51,Auto,60,10.49,633,Mortgage,Approved,2026-06-06 21:51:24.034489,60.55,High,True
249,Applicant_249,50,Male,Married,1,Graduate,Salaried,11,658859.04,604855.96,Home,36,8.35,633,Owned,Approved,2026-07-13 21:51:24.034492,91.8,High,True
250,Applicant_250,62,Female,Married,1,Post-Graduate,Business Owner,5,400905.35,385496.27,Education,24,8.62,850,Owned,Approved,2026-05-31 21:51:24.034496,96.16,High,True
251,Applicant_251,55,Male,Married,3,Graduate,Self-Employed,1,1640294.35,397748.87,Education,48,10.05,627,Mortgage,Approved,2026-02-23 21:51:24.034499,24.25,High,True
252,Applicant_252,27,Male,Married,2,Post-Graduate,Salaried,8,416505.85,359091.78,Home,36,7.52,590,Owned,Approved,2026-02-20 21:51:24.034503,86.22,High,True
253,Applicant_253,36,Male,Married,3,Under-Graduate,Self-Employed,1,852785.69,793303.82,Business,48,11.61,682,Mortgage,Approved,2025-12-25 21:51:24.034506,93.02,High,True
254,Applicant_254,46,Female,Divorced,1,Under-Graduate,Student,16,528876.79,50000.0,Business,60,13.3,725,Owned,Approved,2026-07-13 21:51:24.034509,9.45,High,True
255,Applicant_255,22,Female,Married,2,Graduate,Salaried,7,968815.79,413570.33,Home,48,5.26,722,Mortgage,Approved,2025-12-14 21:51:24.034513,42.69,High,True
256,Applicant_256,21,Female,Married,2,Graduate,Student,1,340245.95,932595.74,Education,60,14.68,482,Owned,Approved,2025-09-10 21:51:24.034516,274.09,High,True
257,Applicant_257,32,Female,Single,3,Graduate,Salaried,26,1186142.73,644824.41,Business,48,7.44,627,Mortgage,Approved,2026-06-28 21:51:24.034519,54.36,High,True
258,Applicant_258,25,Female,Married,4,Graduate,Business Owner,5,1664462.47,854717.23,Education,60,15.48,772,Owned,Approved,2026-05-15 21:51:24.034523,51.35,High,True
259,Applicant_259,57,Female,Single,0,Post-Graduate,Business Owner,0,514184.31,50000.0,Auto,60,7.49,706,Mortgage,Approved,2025-09-25 21:51:24.034526,9.72,High,True
260,Applicant_260,52,Male,Married,2,Under-Graduate,Salaried,7,1336787.55,152170.22,Auto,48,10.98,581,Rented,Approved,2026-08-14 21:51:24.034530,11.38,High,True
261,Applicant_261,29,Male,Married,0,Graduate,Self-Employed,2,697248.26,643933.48,Business,60,10.96,779,Owned,Approved,2025-10-31 21:51:24.034533,92.35,High,True
262,Applicant_262,61,Male,Married,2,Graduate,Salaried,13,1452316.45,934176.57,Debt Consolidation,84,7.14,757,Mortgage,Rejected,2026-06-12 21:51:24.034537,64.32,High,False
263,Applicant_263,55,Female,Married,1,Graduate,Business Owner,13,1725399.59,180453.86,Business,48,8.75,656,Rented,Rejected,2026-01-10 21:51:24.034540,10.46,High,False
264,Applicant_264,39,Female,Divorced,1,Under-Graduate,Self-Employed,30,756518.0,391426.7,Home,48,13.54,750,Owned,Approved,2026-03-14 21:51:24.034544,51.74,High,True
265,Applicant_265,36,Male,Married,1,Graduate,Self-Employed,5,241893.57,612409.96,Education,60,7.37,839,Rented,Approved,2026-06-23 21:51:24.034547,253.17,High,True
266,Applicant_266,23,Female,Married,2,Post-Graduate,Salaried,4,1229233.75,93300.45,Personal,48,7.04,595,Mortgage,Approved,2026-07-27 21:51:24.034550,7.59,High,True
267,Applicant_267,40,Female,Married,1,Graduate,Salaried,11,939766.88,646073.55,Home,24,4.46,724,Rented,Approved,2026-05-24 21:51:24.034554,68.75,High,True
268,Applicant_268,44,Male,Married,3,High School,Salaried,1,1050716.47,50000.0,Debt Consolidation,84,13.99,838,Mortgage,Rejected,2026-07-01 21:51:24.034557,4.76,High,False
269,Applicant_269,53,Female,Single,1,High School,Salaried,6,714061.98,637827.05,Debt Consolidation,12,6.82,732,Owned,Rejected,2026-05-16 21:51:24.034561,89.32,High,False
270,Applicant_270,44,Female,Married,0,Graduate,Self-Employed,6,496202.87,221376.21,Home,60,12.7,619,Rented,Pending,2025-10-20 21:51:24.034564,44.61,High,False
271,Applicant_271,31,Male,Single,3,Graduate,Student,0,1314139.27,374672.79,Debt Consolidation,60,6.4,699,Owned,Approved,2026-04-16 21:51:24.034568,28.51,High,True
272,Applicant_272,28,Female,Divorced,1,Post-Graduate,Business Owner,4,977916.0,682527.51,Auto,120,12.59,789,Rented,Approved,2026-01-23 21:51:24.034571,69.79,High,True
273,Applicant_273,56,Male,Single,1,Graduate,Self-Employed,15,272577.19,625230.6,Personal,24,11.32,598,Owned,Rejected,2026-06-22 21:51:24.034575,229.38,High,False
274,Applicant_274,58,Female,Divorced,2,Under-Graduate,Retired,15,1124750.09,497765.26,Auto,48,7.7,677,Owned,Approved,2026-03-03 21:51:24.034578,44.26,High,True
275,Applicant_275,60,Female,Married,1,Under-Graduate,Business Owner,0,1044467.44,771331.35,Auto,48,5.93,660,Rented,Rejected,2025-12-24 21:51:24.034582,73.85,High,False
276,Applicant_276,40,Female,Married,0,Under-Graduate,Retired,0,719880.43,50000.0,Business,36,6.21,629,Mortgage,Approved,2025-11-07 21:51:24.034585,6.95,High,True
277,Applicant_277,55,Male,Married,1,Under-Graduate,Self-Employed,2,1497925.29,557236.02,Personal,24,6.17,699,Rented,Approved,2026-01-05 21:51:24.034589,37.2,High,True
278,Applicant_278,45,Female,Single,4,Graduate,Salaried,16,602730.74,278752.36,Home,48,12.23,671,Owned,Approved,2026-04-19 21:51:24.034592,46.25,High,True
279,Applicant_279,55,Female,Divorced,2,Graduate,Salaried,1,782405.4,757048.81,Education,48,9.06,731,Owned,Approved,2026-05-08 21:51:24.034595,96.76,High,True
280,Applicant_280,45,Male,Married,2,Under-Graduate,Business Owner,10,1157459.24,692378.78,Home,24,4.6,771,Owned,Approved,2026-07-05 21:51:24.034599,59.82,High,True
281,Applicant_281,49,Female,Single,2,Graduate,Salaried,0,880705.18,702537.5,Auto,60,7.62,578,Owned,Approved,2025-11-11 21:51:24.034602,79.77,High,True
282,Applicant_282,38,Male,Married,0,Under-Graduate,Salaried,7,296230.74,960706.91,Auto,60,8.04,685,Owned,Approved,2026-01-01 21:51:24.034606,324.31,High,True
283,Applicant_283,38,Female,Single,1,Graduate,Self-Employed,3,923519.75,815377.31,Education,60,3.0,675,Mortgage,Approved,2025-12-31 21:51:24.034609,88.29,High,True
284,Applicant_284,22,Male,Married,3,Graduate,Self-Employed,12,684244.08,455922.03,Auto,84,7.81,696,Owned,Approved,2025-11-06 21:51:24.034613,66.63,High,True
285,Applicant_285,55,Male,Divorced,0,High School,Self-Employed,2,1192798.5,499645.0,Home,48,11.03,678,Rented,Approved,2026-05-08 21:51:24.034616,41.89,High,True
286,Applicant_286,36,Male,Single,1,Graduate,Salaried,8,910487.34,668262.75,Home,120,8.02,601,Owned,Rejected,2026-06-01 21:51:24.034620,73.4,High,False
287,Applicant_287,61,Female,Married,1,High School,Salaried,2,887803.06,538128.91,Home,84,9.39,796,Rented,Approved,2026-01-12 21:51:24.034623,60.61,High,True
288,Applicant_288,56,Male,Married,1,High School,Self-Employed,10,430699.53,697448.53,Education,36,10.2,830,Rented,Approved,2025-10-28 21:51:24.034626,161.93,High,True
289,Applicant_289,53,Female,Married,4,Under-Graduate,Retired,16,757989.88,50000.0,Debt Consolidation,36,7.3,723,Owned,Pending,2025-10-27 21:51:24.034630,6.6,High,False
290,Applicant_290,24,Male,Married,0,Under-Graduate,Business Owner,1,1238040.44,1026624.99,Home,48,11.06,727,Owned,Pending,2025-11-11 21:51:24.034633,82.92,High,False
291,Applicant_291,53,Male,Married,2,Post-Graduate,Retired,16,539385.46,517088.0,Debt Consolidation,48,13.6,690,Owned,Approved,2026-02-01 21:51:24.034637,95.87,High,True
292,Applicant_292,34,Male,Single,0,High School,Business Owner,7,836979.91,50000.0,Business,48,3.17,757,Mortgage,Rejected,2025-09-06 21:51:24.034640,5.97,High,False
293,Applicant_293,41,Female,Single,4,Graduate,Self-Employed,1,475421.58,244137.86,Business,48,7.29,484,Owned,Approved,2025-11-27 21:51:24.034644,51.35,High,True
294,Applicant_294,40,Male,Married,0,Post-Graduate,Salaried,4,376462.94,50000.0,Business,60,16.65,679,Owned,Approved,2026-06-19 21:51:24.034647,13.28,High,True
295,Applicant_295,28,Female,Married,1,Post-Graduate,Business Owner,1,816056.38,194734.18,Personal,48,9.1,634,Rented,Approved,2026-01-20 21:51:24.034651,23.86,High,True
296,Applicant_296,27,Female,Single,3,Post-Graduate,Self-Employed,9,919520.47,460170.44,Home,24,8.38,691,Owned,Approved,2026-01-09 21:51:24.034654,50.04,High,True
297,Applicant_297,23,Female,Single,3,Post-Graduate,Self-Employed,11,1647545.18,924120.09,Education,84,7.6,767,Owned,Rejected,2025-11-11 21:51:24.034657,56.09,High,False
298,Applicant_298,37,Male,Married,1,Graduate,Self-Employed,0,667815.85,614988.88,Business,36,12.96,681,Owned,Rejected,2025-10-25 21:51:24.034661,92.09,High,False
299,Applicant_299,53,Male,Single,1,Post-Graduate,Self-Employed,5,829932.29,565200.97,Education,120,5.21,651,Mortgage,Pending,2025-09-01 21:51:24.034664,68.1,High,False
300,Applicant_300,32,Female,Married,1,High School,Salaried,13,349970.59,182170.73,Personal,24,11.74,567,Owned,Rejected,2025-09-13 21:51:24.034668,52.05,High,False
301,Applicant_301,42,Male,Married,1,Graduate,Self-Employed,22,1094896.01,269144.11,Home,120,7.53,671,Owned,Approved,2025-12-16 21:51:24.034671,24.58,High,True
302,Applicant_302,42,Female,Married,1,High School,Salaried,5,1009237.91,290860.25,Business,24,5.88,733,Owned,Approved,2026-04-08 21:51:24.034675,28.82,High,True
303,Applicant_303,50,Male,Married,2,Under-Graduate,Business Owner,24,1445357.87,302283.99,Education,36,7.69,612,Owned,Pending,2026-06-20 21:51:24.034678,20.91,High,False
304,Applicant_304,58,Female,Married,1,Under-Graduate,Salaried,6,1294648.86,401569.67,Auto,12,8.34,519,Owned,Rejected,2026-05-31 21:51:24.034682,31.02,High,False
305,Applicant_305,58,Female,Divorced,1,Post-Graduate,Salaried,4,990562.67,422716.9,Auto,60,6.76,850,Rented,Rejected,2025-09-03 21:51:24.034685,42.67,High,False
306,Applicant_306,28,Female,Single,2,Under-Graduate,Self-Employed,15,661971.4,405058.06,Business,84,12.39,706,Rented,Pending,2026-04-14 21:51:24.034688,61.19,High,False
307,Applicant_307,47,Male,Single,4,Graduate,Business Owner,5,931867.38,312029.22,Personal,48,5.9,662,Rented,Approved,2026-04-07 21:51:24.034692,33.48,High,True
308,Applicant_308,47,Female,Married,2,Under-Graduate,Self-Employed,5,805594.62,537814.89,Education,84,8.99,791,Owned,Rejected,2025-09-23 21:51:24.034695,66.76,High,False
309,Applicant_309,54,Male,Married,0,Graduate,Salaried,5,1231359.01,411963.86,Personal,48,10.38,691,Mortgage,Rejected,2026-02-22 21:51:24.034698,33.46,High,False
310,Applicant_310,41,Male,Single,0,High School,Self-Employed,15,1180492.6,53241.17,Auto,60,8.95,786,Owned,Pending,2026-08-17 21:51:24.034703,4.51,High,False
311,Applicant_311,50,Female,Married,4,High School,Salaried,14,731433.82,509626.91,Home,60,11.2,779,Rented,Approved,2026-04-02 21:51:24.034706,69.68,High,True
312,Applicant_312,53,Female,Married,1,Graduate,Retired,4,265202.49,467306.08,Home,36,6.98,578,Mortgage,Approved,2025-11-09 21:51:24.034710,176.21,High,True
313,Applicant_313,48,Female,Married,0,Graduate,Retired,3,1383354.92,57704.31,Home,48,10.68,716,Mortgage,Approved,2025-09-24 21:51:24.034713,4.17,High,True
